Annualised Sharpe,Average Annualised Return,Average Components,Min Weight,Max Drawdown,Calmar Ratio,Loss: Utility Target,cardinality_target_penalty,Loss: Vol Target,Loss: Min Weight
2.112097978591919,0.8858375549316406,259.75,3.552713678800501e-15,-0.8545718789100647,-inf,"tensor(51159.1523, device='cuda:0', grad_fn=<DivBackward0>)","tensor(59685.5742, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.4162092208862305,2.1824018955230713,41.9375,8.535394613318203e-13,-0.8182042837142944,-inf,"tensor(1678636.6250, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4514.6196, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.533475637435913,1.6065138578414917,47.15625,4.967781741527233e-11,-0.7909395098686218,-inf,"tensor(368892.8750, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4032.1062, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.316901445388794,1.8849209547042847,42.9375,2.6284396881237626e-10,-0.7786845564842224,-inf,"tensor(1529612.8750, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3552.4661, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.5848791599273682,1.8462183475494385,40.5625,4.863665026277886e-12,-0.8121002316474915,-inf,"tensor(504566.8438, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3815.5688, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.43910551071167,2.143989086151123,38.34375,2.220446049250313e-14,-0.7634537816047668,-inf,"tensor(1535370.1250, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3330.9062, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.907122015953064,1.786659836769104,39.0,1.2789769243681803e-13,-0.7829057574272156,-inf,"tensor(214746.3281, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3128.8174, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.6893482208251953,1.9845244884490967,38.34375,8.185452315956354e-12,-0.7622316479682922,-inf,"tensor(618658.1250, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3129.7573, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
2.3462703227996826,1.888923168182373,39.75,9.78985781330266e-11,-0.7730542421340942,-inf,"tensor(121618.1094, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3090.1692, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.9465574026107788,2.1356985569000244,38.03125,7.355005493536737e-12,-0.6801367998123169,-inf,"tensor(370234.8438, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3178.9055, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.9049115180969238,2.230365037918091,42.0,1.7195134205394424e-12,-0.7411140203475952,-inf,"tensor(509559.8750, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3323.2390, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
2.5526859760284424,2.114974021911621,23.375,1.9454660105111543e-11,-0.7862311005592346,-inf,"tensor(88098.7500, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6146.9380, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.9886287450790405,1.477821946144104,22.328125,1.4210854715202004e-12,-0.9418800473213196,-inf,"tensor(65245.8828, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7282.5020, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
