Annualised Sharpe,Average Annualised Return,Average Components,Min Weight,Max Drawdown,Calmar Ratio,Loss: Utility Target,cardinality_target_penalty,Loss: Vol Target,Loss: Min Weight
2.070683240890503,0.8925546407699585,229.875,1.2789769243681803e-13,-0.8479510545730591,-inf,"tensor(51400.4844, device='cuda:0', grad_fn=<DivBackward0>)","tensor(50960.4609, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.2688058614730835,2.2039601802825928,41.9375,5.46265255252365e-11,-0.7762793898582458,-inf,"tensor(2731137.2500, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4547.5820, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.221047043800354,2.3666303157806396,32.90625,5.551115123125783e-13,-0.7799086570739746,-inf,"tensor(5127914., device='cuda:0', grad_fn=<DivBackward0>)","tensor(4424.5425, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.430306315422058,2.176379442214966,41.90625,3.3921665476555063e-10,-0.7782588005065918,-inf,"tensor(1524222.6250, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3674.9905, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.5225510597229004,1.9340136051177979,36.34375,1.2789769243681803e-13,-0.8024460673332214,-inf,"tensor(1016180.2500, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3659.9419, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.5924696922302246,1.7492878437042236,64.125,1.2159162565694714e-12,-0.7559033036231995,-inf,"tensor(343129.6562, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6128.9761, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
2.1756224632263184,1.548743724822998,43.0625,9.672262990534364e-13,-0.7906152606010437,-inf,"tensor(76656.8203, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4124.6187, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.5697839260101318,2.018720865249634,42.0625,1.1141310096718371e-11,-0.791199803352356,-inf,"tensor(855121.1875, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3105.2856, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.6010478734970093,2.2546629905700684,37.40625,1.1319745141236126e-10,-0.7603343725204468,-inf,"tensor(1247968.7500, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3868.7375, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.7124227285385132,2.2222399711608887,43.75,5.972111694063642e-12,-0.7726364731788635,-inf,"tensor(753243.8125, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3178.3311, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.7217093706130981,2.051396369934082,38.125,1.4210854715202004e-14,-0.7928584814071655,-inf,"tensor(648557.1875, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3695.5249, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
1.6938581466674805,1.6621012687683105,67.0,2.2737367544323206e-13,-0.8310876488685608,-inf,"tensor(233211.9688, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6874.3257, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
2.647808313369751,1.3327081203460693,47.59375,4.9049653227939416e-11,-0.8394981026649475,-inf,"tensor(50461.1641, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2545.2339, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
2.968590021133423,1.4265631437301636,44.375,2.133848653329551e-11,-0.8108683228492737,-inf,"tensor(48034.3359, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2404.6062, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
3.010932683944702,1.4898210763931274,41.4375,1.3509193763638905e-12,-0.8237338662147522,-inf,"tensor(48002.3789, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2636.0476, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
2.9665751457214355,1.5119320154190063,41.0,4.5364600964603596e-11,-0.8098227381706238,-inf,"tensor(48540.8750, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2603.9512, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
3.059342861175537,1.3946930170059204,42.03125,2.4016344468691386e-12,-0.8031454086303711,-inf,"tensor(47141.9062, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2364.3315, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
3.0109364986419678,1.5381107330322266,45.21875,3.197442310920451e-14,-0.7899466753005981,-inf,"tensor(48381.1523, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2573.6130, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
3.315504789352417,1.5207494497299194,43.875,2.063451631784119e-10,-0.8046950101852417,-inf,"tensor(45860.6719, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2673.1484, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
3.0691239833831787,1.542729139328003,42.65625,2.7853275241795927e-12,-0.7778525948524475,-inf,"tensor(47797.3633, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2504.1980, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
3.2318220138549805,1.5175883769989014,42.4375,1.0880185641326534e-12,-0.7774606347084045,-inf,"tensor(46448.9922, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2499.3655, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
3.4848129749298096,1.5409578084945679,42.375,5.2015280971318134e-11,-0.7506899237632751,-inf,"tensor(45090.8242, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2425.0410, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)","tensor(0., device='cuda:0', grad_fn=<DivBackward0>)"
