Annualised Sharpe Mean,Annualised Sharpe Std,Average Components Mean,Average Components Std,Epochs,Params,Model
0.9763600885868072,0.20770901215268653,43.21875,1.0482086240078567,52,20250811_093146_bidirectional_lstm,bidirectional_lstm
5.474096858501435,1.7977953261022697,42.1578125,8.911038095244338,13,20250811_103338_lstm_stem_dims_64 16_lstm_hidd_dim_64_lstm_layers_2_head_dims_32 1,bidirectional_lstm
6.664389801025391,0.4238274606560547,42.415625,4.534351189729966,14,20250811_101426_lstm_stem_dims_16_lstm_hidd_dim_128_lstm_layers_2_head_dims_1,bidirectional_lstm
6.1164990901947025,0.1365716914045395,49.821875,1.8116047837100426,26,20250811_122124_bidirectional_lstm_final,bidirectional_lstm
2.17554971575737,4.877492237050363,38.871875,5.876947261511144,15,20250811_101240_lstm_stem_dims_16_lstm_hidd_dim_64_lstm_layers_2_head_dims_32 1,bidirectional_lstm
5.073101615905761,0.9257328603122903,45.6625,8.647851170152682,14,20250811_102234_lstm_stem_dims_64_lstm_hidd_dim_64_lstm_layers_2_head_dims_1,bidirectional_lstm
3.3924591541290283,0.2392591173972622,182.075,19.644691112076284,24,20250811_101725_lstm_stem_dims_16_lstm_hidd_dim_128_lstm_layers_2_head_dims_32 1,bidirectional_lstm
6.061446189880371,,30.75,,1,20250811_092739_bidirectional_lstm,bidirectional_lstm
6.23706021308899,0.0445054393047363,46.109375,0.32584358999202195,40,20250811_100812_lstm_stem_dims_16_lstm_hidd_dim_64_lstm_layers_2_head_dims_1,bidirectional_lstm
5.901956939697266,0.45840723926021726,45.609375,10.954552678788902,15,20250811_102850_lstm_stem_dims_64_lstm_hidd_dim_128_lstm_layers_2_head_dims_32 1,bidirectional_lstm
5.309146928787231,1.0517798677520673,43.75625,4.716893950648739,14,20250811_102546_lstm_stem_dims_64_lstm_hidd_dim_128_lstm_layers_2_head_dims_1,bidirectional_lstm
5.24786605834961,2.1982395233572634,47.23125,11.823482915955386,13,20250811_103510_lstm_stem_dims_64 16_lstm_hidd_dim_128_lstm_layers_2_head_dims_1,bidirectional_lstm
7.157244396209717,1.200717398314349,43.903125,4.282034346237909,13,20250811_103206_lstm_stem_dims_64 16_lstm_hidd_dim_64_lstm_layers_2_head_dims_1,bidirectional_lstm
5.290512466430664,0.0007640315822136183,45.80625,0.024650332429581735,83,20250811_122543_bidirectional_lstm_final,bidirectional_lstm
6.165046548843383,0.5805315486110996,45.9203125,9.85619377163733,23,20250811_103802_lstm_stem_dims_64 16_lstm_hidd_dim_128_lstm_layers_2_head_dims_32 1,bidirectional_lstm
4.490451717376709,1.8395445279874636,40.109375,5.547170864566409,13,20250811_102412_lstm_stem_dims_64_lstm_hidd_dim_64_lstm_layers_2_head_dims_32 1,bidirectional_lstm
